scope,window_s,input_group,model,eval_split,true_class,predicted_class,count
all_sample,10,A_strict_38,naive_majority,test,LOCAC,FLB,10
all_sample,10,A_strict_38,naive_majority,test,LOCAC,LLB,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,LR,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,MD,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,RI,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,RW,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,LOCAC,SLBOC,0
all_sample,10,A_strict_38,naive_majority,test,LR,FLB,10
all_sample,10,A_strict_38,naive_majority,test,LR,LLB,0
all_sample,10,A_strict_38,naive_majority,test,LR,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,LR,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,LR,LR,0
all_sample,10,A_strict_38,naive_majority,test,LR,MD,0
all_sample,10,A_strict_38,naive_majority,test,LR,RI,0
all_sample,10,A_strict_38,naive_majority,test,LR,RW,0
all_sample,10,A_strict_38,naive_majority,test,LR,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,LR,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,LR,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,LR,SLBOC,0
all_sample,10,A_strict_38,naive_majority,test,MD,FLB,10
all_sample,10,A_strict_38,naive_majority,test,MD,LLB,0
all_sample,10,A_strict_38,naive_majority,test,MD,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,MD,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,MD,LR,0
all_sample,10,A_strict_38,naive_majority,test,MD,MD,0
all_sample,10,A_strict_38,naive_majority,test,MD,RI,0
all_sample,10,A_strict_38,naive_majority,test,MD,RW,0
all_sample,10,A_strict_38,naive_majority,test,MD,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,MD,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,MD,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,MD,SLBOC,0
all_sample,10,A_strict_38,naive_majority,test,RI,FLB,10
all_sample,10,A_strict_38,naive_majority,test,RI,LLB,0
all_sample,10,A_strict_38,naive_majority,test,RI,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,RI,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,RI,LR,0
all_sample,10,A_strict_38,naive_majority,test,RI,MD,0
all_sample,10,A_strict_38,naive_majority,test,RI,RI,0
all_sample,10,A_strict_38,naive_majority,test,RI,RW,0
all_sample,10,A_strict_38,naive_majority,test,RI,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,RI,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,RI,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,RI,SLBOC,0
all_sample,10,A_strict_38,naive_majority,test,RW,FLB,10
all_sample,10,A_strict_38,naive_majority,test,RW,LLB,0
all_sample,10,A_strict_38,naive_majority,test,RW,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,RW,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,RW,LR,0
all_sample,10,A_strict_38,naive_majority,test,RW,MD,0
all_sample,10,A_strict_38,naive_majority,test,RW,RI,0
all_sample,10,A_strict_38,naive_majority,test,RW,RW,0
all_sample,10,A_strict_38,naive_majority,test,RW,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,RW,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,RW,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,RW,SLBOC,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,FLB,10
all_sample,10,A_strict_38,naive_majority,test,SGATR,LLB,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,LR,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,MD,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,RI,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,RW,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,SGATR,SLBOC,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,FLB,11
all_sample,10,A_strict_38,naive_majority,test,SGBTR,LLB,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,LR,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,MD,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,RI,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,RW,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,SGBTR,SLBOC,0
all_sample,10,A_strict_38,naive_majority,test,SLBIC,FLB,11
all_sample,10,A_strict_38,naive_majority,test,SLBIC,LLB,0
all_sample,10,A_strict_38,naive_majority,test,SLBIC,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,SLBIC,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,SLBIC,LR,0
